"""Азиатско-Тихоокеанский Банк"" (ПАО)";197155718;1448465;206674366;1810;01.10.2019
"""БМВ Банк"" ООО";26904951;14155;30377755;3482;01.10.2019
"""БНП ПАРИБА БАНК"" АО";119243613;695710;120138814;3407;01.10.2019
"""БСТ-БАНК"" АО";2178678;11150;2217521;2883;01.10.2019
"""Банк ""МБА-МОСКВА"" ООО";290528560;57060;290786062;3395;01.10.2019
"""Банк Заречье"" (АО)";5599088;19230;5647076;817;01.10.2019
"""Банк Кремлевский"" ООО";7773740;128955;7991087;2905;01.10.2019
"""Братский АНКБ"" АО";3238410;9970;3252108;1144;01.10.2019
"""ЗИРААТ БАНК (МОСКВА)"" (АО)";6282657;206370;6715145;2559;01.10.2019
"""Коммерческий Индо Банк"" ООО";6632485;230350;7059308;3446;01.10.2019
"""Мерседес-Бенц Банк Рус"" ООО";17147749;5180;17791518;3473;01.10.2019
"""Муниципальный Камчатпрофитбанк"" (АО)";20960379;49140;22571455;2103;01.10.2019
"""Натиксис Банк АО""";32412017;1457690;34116532;3390;01.10.2019
"""Нацинвестпромбанк"" (АО)";16135275;200005;16481024;3077;01.10.2019
"""Республиканский Кредитный Альянс"" ООО";2499504;11430;2552813;3017;01.10.2019
"""Русьуниверсалбанк"" (ООО)";12981857;12810;13630517;3293;01.10.2019
"""СДМ-Банк"" (ПАО)";71377096;1314785;75287670;1637;01.10.2019
"""СИБСОЦБАНК"" ООО";6291170;2150;6320057;2015;01.10.2019
"""СОЦИУМ-БАНК"" (ООО)";1367224;5125;1428072;2881;01.10.2019
"""СеверСтройБанк"" АО";218458;0;233512;3507;01.10.2019
"""Северный Народный Банк"" (ПАО)";7465708;64410;7559542;2721;01.10.2019
"""Сетелем Банк"" ООО";94009740;32145;95759412;2168;01.10.2019
"""Тимер Банк"" (ПАО)";175280477;7175;175544211;1581;01.10.2019
"(АО ""Банк ""Агророс"")";9931604;28370;10159939;2860;01.10.2019
"АБ ""АСПЕКТ"" (АО)";4445085;13745;4712686;608;01.10.2019
"АБ ""Девон-Кредит"" (ПАО)";11103480;20035;11538950;1972;01.10.2019
"АКБ ""АКТИВ БАНК"" (ПАО)";5843460;2380;6013826;2529;01.10.2019
"АКБ ""АПАБАНК"" (АО)";5692722;13655;5774360;2404;01.10.2019
"АКБ ""Абсолют Банк"" (ПАО)";340100817;5912230;359948942;2306;01.10.2019
"АКБ ""Алмазэргиэнбанк"" АО";31136950;131325;32225686;2602;01.10.2019
"АКБ ""БЭНК ОФ ЧАЙНА"" (АО)";86451540;994575;89410979;2309;01.10.2019
"АКБ ""Держава"" ПАО";42595400;635570;45636537;2738;01.10.2019
"АКБ ""ИРС"" (АО)";3211921;14240;3232491;272;01.10.2019
"АКБ ""Ижкомбанк"" (ПАО)";8013661;30085;8625314;646;01.10.2019
"АКБ ""Инвестторгбанк"" (ПАО)";59669936;394600;61599619;2763;01.10.2019
"АКБ ""Кузбассхимбанк"" (ПАО)";1423198;225;1428558;2868;01.10.2019
"АКБ ""Ланта-Банк"" (АО)";49914498;143955;50161637;1920;01.10.2019
"АКБ ""НБВК"" (АО)";1822133;2700;1826789;3214;01.10.2019
"АКБ ""НООСФЕРА"" (АО)";1671557;1430;1837906;2650;01.10.2019
"АКБ ""НРБанк"" (АО)";36537070;282370;39718700;2170;01.10.2019
"АКБ ""ПЕРЕСВЕТ"" (ПАО)";130503040;2430330;136437694;2110;01.10.2019
"АКБ ""ПРОМИНВЕСТБАНК"" (ПАО)";7113564;3965;7161680;2433;01.10.2019
"АКБ ""Проинвестбанк"" (ПАО)";806679;655;843103;784;01.10.2019
"АКБ ""Ресурс-траст"" (АО)";1233663;0;1269504;3122;01.10.2019
"АКБ ""СЛАВИЯ"" (АО)";8068377;201065;8300547;2664;01.10.2019
"АКБ ""ТЕНДЕР-БАНК"" (АО)";1840630;9615;1912369;2252;01.10.2019
"АКБ ""Трансстройбанк"" (АО)";7446862;94910;7600188;2807;01.10.2019
"АКБ ""ФОРА-БАНК"" (АО)";70490684;1472640;72445259;1885;01.10.2019
"АКБ ""Форштадт"" (АО)";10193891;91285;10519231;2208;01.10.2019
"АКБ ""ЧУВАШКРЕДИТПРОМБАНК"" ПАО";5547009;0;5561379;1280;01.10.2019
"АКБ ""Энергобанк"" (ПАО)";44153616;21100;45682120;67;01.10.2019
"АККСБ ""КС БАНК"" (ПАО)";8934548;20160;9024961;1752;01.10.2019
"АО ""АБ ""РОССИЯ""";454472911;3626925;470198679;328;01.10.2019
"АО ""АЛЬФА-БАНК""";5916974522;114796530;6182124459;1326;01.10.2019
"АО ""Автоградбанк""";5189382;37800;5388737;1455;01.10.2019
"АО ""БАЛАКОВО-БАНК""";1589775;1195;1609885;444;01.10.2019
"АО ""БАНК БЕРЕЙТ""";254921;0;269217;3505;01.10.2019
"АО ""БАНК ОРЕНБУРГ""";9034823;9030;9126404;3269;01.10.2019
"АО ""БАНК РЕАЛИСТ""";12373204;44830;12592052;2646;01.10.2019
"АО ""БКС Банк""";294351420;1422155;296933994;101;01.10.2019
"АО ""БМ-Банк""";187511370;1212295;199783086;2748;01.10.2019
"АО ""БайкалИнвестБанк""";48148982;95875;49492220;1067;01.10.2019
"АО ""Банк ""Вологжанин""";2410234;14625;2427490;1896;01.10.2019
"АО ""Банк Акцепт""";14667477;42565;15297755;567;01.10.2019
"АО ""Банк ДОМ.РФ""";190227382;1981235;203448457;2312;01.10.2019
"АО ""Банк ЖилФинанс""";12654955;213280;15239114;3138;01.10.2019
"АО ""Банк Интеза""";111539240;1932720;113625787;2216;01.10.2019
"АО ""Банк Кредит Свисс (Москва)""";125930544;571620;126798704;2494;01.10.2019
"АО ""Банк Русский Стандарт""";450615534;18938390;475300793;2289;01.10.2019
"АО ""Банк ФИНАМ""";5981549;156115;6250503;2799;01.10.2019
"АО ""Банк Финсервис""";76619002;1062970;79542240;3388;01.10.2019
"АО ""Банк ЧБРР""";5070057;424785;5511492;3527;01.10.2019
"АО ""ВЛАДБИЗНЕСБАНК""";4735297;9440;5010993;903;01.10.2019
"АО ""ВОКБАНК""";9524243;3095;9568155;312;01.10.2019
"АО ""ВУЗ-банк""";100892415;987745;106356194;1557;01.10.2019
"АО ""Великие Луки банк""";1104191;1995;1168315;598;01.10.2019
"АО ""ГЕНБАНК""";25928721;54100;26389758;2490;01.10.2019
"АО ""ГОРБАНК""";3657946;6665;3909765;2982;01.10.2019
"АО ""ГУТА-БАНК""";16795399;37155;17039629;256;01.10.2019
"АО ""Газнефтьбанк""";1339573;530;1356481;3223;01.10.2019
"АО ""Газэнергобанк""";20497235;80590;20935933;3252;01.10.2019
"АО ""ГринКомБанк""";662413;2330;706724;1184;01.10.2019
"АО ""Данске банк""";14205471;147715;14708076;3307;01.10.2019
"АО ""Денизбанк Москва""";32869142;857105;38167124;3330;01.10.2019
"АО ""Заубер Банк""";6273078;43890;6405784;1614;01.10.2019
"АО ""ИК Банк""";2492469;33485;2623412;1732;01.10.2019
"АО ""ИТ Банк""";3429801;29975;3520336;2609;01.10.2019
"АО ""ИШБАНК""";19422457;753980;20793114;2867;01.10.2019
